epoch,train_loss,train_acc,val_loss,val_acc
0,4.2070705256884615,0.025949367088607594,3.9579106541844578,0.04004004004004004
1,3.9271650266043747,0.04493670886075949,3.7636172172424196,0.043043043043043044
2,3.7401523203789435,0.04810126582278481,3.805519046248855,0.042042042042042045
3,3.6303038150449343,0.06677215189873417,3.4711738933433405,0.06406406406406406
4,3.547983205167553,0.07405063291139241,3.5136277405945986,0.07307307307307308
5,3.5276173090632956,0.08924050632911393,3.574668437510997,0.08208208208208208
6,3.3865779749954803,0.10664556962025316,3.283180080973231,0.11511511511511512
7,3.3264591766309133,0.11392405063291139,3.1502897586669767,0.14714714714714713
8,3.2126512316208853,0.11867088607594936,3.000363747994821,0.13513513513513514
9,3.109972584398487,0.13544303797468354,3.093089074105233,0.16516516516516516
10,3.0855151592930663,0.13987341772151898,2.8272075192467705,0.21521521521521522
11,2.965139056459258,0.1550632911392405,2.7269352945360215,0.2222222222222222
12,2.9228486284424986,0.17151898734177215,2.7942386568487585,0.1961961961961962
13,2.868072314202031,0.18544303797468353,2.8276961465497634,0.1981981981981982
14,2.826719850829885,0.1838607594936709,2.6854097504276893,0.23723723723723725
15,2.774731608885753,0.20379746835443038,3.0324664077720604,0.2012012012012012
16,2.7502625459357155,0.20379746835443038,2.521744804936009,0.26126126126126126
17,2.6976783921446983,0.22246835443037974,2.6764579728558973,0.22922922922922923
18,2.605254981487612,0.24018987341772152,2.6111919433624298,0.25325325325325326
19,2.6062570710725423,0.2310126582278481,2.3412595413349293,0.34634634634634637
20,2.5052362604986262,0.26677215189873416,2.282434690225351,0.3263263263263263
21,2.504510752158829,0.264873417721519,2.516295822294386,0.27627627627627627
22,2.4299069929726516,0.2718354430379747,2.1395950023834414,0.35835835835835833
23,2.399103899243512,0.28512658227848103,2.2306260683157064,0.3433433433433433
24,2.314141696616064,0.29873417721518986,2.1538268417209476,0.3733733733733734
25,2.283837466602084,0.30063291139240506,2.2620014053684576,0.32432432432432434
