epoch,train_loss,train_acc,val_loss,val_acc
0,4.1291540026274935,0.0363531448355453,3.944374852471643,0.05805805805805806
1,3.847298687433917,0.04481631082900558,3.6912791998656065,0.07207207207207207
2,3.6133913947976906,0.07116753221773418,3.3272391620937647,0.11711711711711711
3,3.3637737218956234,0.1090594345066359,3.05767091353973,0.12812812812812813
4,3.2047027107568216,0.12560107713021734,2.8616108803658395,0.1841841841841842
5,3.0527622331952013,0.15349105597230236,2.7523989519915424,0.18518518518518517
6,2.936685686089438,0.16233891132910175,2.629928683136796,0.24124124124124124
7,2.8566565444364436,0.17503366031929218,2.5581328954782574,0.26626626626626626
8,2.7203514845606502,0.2088863242931333,2.6204904443150885,0.23423423423423423
9,2.6268987653805307,0.23312175418349682,2.702781955281774,0.23523523523523523
10,2.5939680453698712,0.2379303712252356,2.302210929038169,0.3033033033033033
11,2.4631027297621437,0.27274475860742453,2.1499391333596245,0.3563563563563564
12,2.3969891119471054,0.27986151182919794,2.0400250373301922,0.3973973973973974
13,2.3270076106754396,0.2919792267743797,2.0281946260530552,0.38538538538538536
14,2.222336167806753,0.32044623966147334,2.0906231842480145,0.37037037037037035
15,2.1898637696581864,0.34410463550682824,1.6941247172541805,0.46346346346346345
16,2.1109258830948594,0.35276014618195806,1.6630288844590668,0.5005005005005005
17,2.0623960136839874,0.3769955760723216,1.5916737704663664,0.5295295295295295
18,1.9992771484366194,0.3856510867474514,1.5025471144610338,0.5415415415415415
19,1.9600801602948925,0.40180804000769377,1.4578515097901628,0.5695695695695696
20,1.8557979723517082,0.43104443162146566,1.4265252535526936,0.5535535535535535
21,1.8427089246150783,0.44470090402000384,1.4733334177129858,0.5605605605605606
22,1.7873115716564767,0.44393152529332564,1.3975274763307772,0.5855855855855856
23,1.7486234422279427,0.45816503173687245,1.4971718524430726,0.5305305305305306
24,1.664660224916385,0.4877861127139835,1.3110448573086713,0.5655655655655656
25,1.6451763091442286,0.4845162531256011,1.3418038934320062,0.5805805805805806
26,1.5886008198799182,0.510290440469321,1.2413264823270154,0.6346346346346347
27,1.5614081645016489,0.5093287170609733,1.0664910175898172,0.6726726726726727
28,1.5098157546272137,0.5243316022311983,1.328053416432561,0.5735735735735735
29,1.4058576153663287,0.5643392960184651,1.3417954891174286,0.5745745745745746
30,1.4642490168034192,0.5445277938065013,1.071790241801345,0.6346346346346347
