epoch,train_loss,train_recon,train_kld,val_loss,val_recon,val_kld
0,19620.48762732397,3296.465395075158,16324.02179020749,3142.340645332833,2975.2404474787286,167.10020457469187
1,3009.742204806171,2747.2226661392406,262.5195403666436,2860.4703805367867,2509.5140101038537,350.95638314095345
2,2533.0679736946204,2248.4489331981804,284.6190343156646,2427.1397334834833,2100.6999450622498,326.43978793246373
3,2272.422069076345,1994.5924161886867,277.8296504153481,2148.88158861987,1866.6941218562313,282.1874877807495
4,2055.5097594442245,1816.4213323279273,239.08843360611155,1934.8308904607732,1689.680711961962,245.15018363089652
5,1963.4760049940664,1721.840294946598,241.63571360141415,1879.2745147491241,1642.7802089198574,236.4943044851492
6,1819.968984869462,1609.8056751878955,210.1633055095431,1683.827662623561,1492.0178185998498,191.8098385250485
7,1751.5111550632912,1552.091309829905,199.4198458514636,1691.7762381522148,1495.4482636933808,196.32796871578608
8,1702.0764796776107,1496.5464102056962,205.530078125,1627.0870655812062,1434.03711328516,193.04995034096598
9,1643.8735190862342,1459.4070448477057,184.46647941492782,1537.6875371465214,1372.203271631006,165.48426160535536
10,1589.7482644382912,1410.0546813192248,179.69358682753165,1540.610228392455,1370.0545017673924,170.555724792175
11,1544.3920057852056,1370.9682555379748,173.42374360289756,1506.6381557338589,1341.482274266454,165.1558956417355
12,1512.3300286787974,1337.9275792375395,174.40244619635087,1473.3240124890515,1304.6656813063064,168.65832898328014
13,1471.4631131329113,1298.354139883307,173.1089724770075,1441.9799721596596,1283.4392136276902,158.54076293089966
14,1448.0441245549841,1277.7160205696202,170.3281050669996,1392.8483473708084,1232.1881715700074,160.66018704251127
15,1425.6034698872627,1261.6895322389241,163.9139412022844,1387.9093116554054,1224.8964169247372,163.01288715473285
16,1414.4301930874208,1231.9029618275317,182.5272324960443,1367.581563008321,1194.167069413163,173.41449249542512
17,1360.2468057753165,1188.8735462816455,171.37325887559336,1355.7429646443318,1191.0797232779655,164.6632253591482
18,1350.6468873615506,1177.5444898388055,173.1023979863034,1332.0670211226852,1169.2602113832584,162.80681352739458
19,1324.8539495154273,1154.462126681171,170.39182267973695,1327.2264510604355,1163.0515476413914,164.1749072070117
20,1286.8984622231012,1122.3347965288765,164.56366677586036,1277.165624608984,1121.7671284565815,155.39849456389985
21,1280.3532325454905,1113.0143771014637,167.33885312623616,1284.41747997998,1119.9840455690064,164.43344320883384
22,1253.0897547468355,1085.594695040546,167.4950666596618,1253.2751354870495,1092.974463721534,160.30068459572854
23,1243.7014364121835,1074.8775106309336,168.8239240815368,1259.6121355730731,1093.6589959099724,165.95314748342093
24,1220.7551436412184,1052.1281991693038,168.6269475623022,1234.5958536661662,1070.4557971056995,164.140051061804
25,1213.7987613726266,1037.6205034859572,176.17825572339794,1238.6952196336963,1062.7510019785411,175.94422987440566
26,1200.8604164606409,1019.3072945510285,181.5531212915348,1249.8019308370872,1064.7513705111362,185.05055592702078
27,1183.5211054934732,1002.3190071202532,181.2020942011966,1200.644458912037,1032.8874949167919,167.75696839417543
28,1157.9519988627374,980.3745827976661,177.577419619017,1172.292432080518,1007.1958198432808,165.09661590301238
29,1151.6402813488924,976.8190343156646,174.82124347928203,1180.3608725913414,1016.1803346315065,164.18053600475474
30,1128.1830405706091,954.427344986155,173.75569797950456,1148.0531591161473,988.4116509087212,159.64151052908377
31,1116.434971444818,942.4519698130933,173.98300008653086,1180.7594596549675,1008.59619336133,172.16326849310246
32,1103.6584046182754,930.3638857298259,173.29452244239516,1121.6442990842404,958.8191844187938,162.82510440127626
33,1081.3247088854826,910.4351754104035,170.8895327024822,1138.2319448354604,975.1304541846534,163.10148319706425
34,1071.0807450306565,899.2255111501187,171.85523032659216,1114.0432820515828,949.9101518510698,164.13313655452328
35,1065.4600165644779,892.430752447587,173.0292634988133,1109.1814187234108,945.2911168003941,163.89030644413944
36,1051.7258628362342,878.6446282881725,173.08123176671282,1101.730419872998,933.4247157313564,168.30569900955643
37,1044.0534253856804,870.8971729133702,173.15624891836433,1098.7146086516204,932.8379957105543,165.87660793117337
38,1042.6341197339793,866.651914804193,175.98220245747626,1093.9712593452828,927.9420084146647,166.02925337446823
39,1019.481707995451,846.938174322587,172.5435301189181,1062.289914914915,898.7474544857357,163.5424585962916
40,1012.2696035650712,841.1229139883307,171.14668710443038,1066.9895579172924,900.1809944710335,166.80857285508165
41,1011.2256526898734,836.9847124703323,174.24094037406053,1070.5734176559372,904.5839086156469,165.98950610767017
42,995.6133912678006,823.5405940961234,172.0727943903283,1035.0108868634259,878.9406183527277,156.07027022139326
43,997.9552202828323,822.4679495895965,175.48727447896064,1052.9793836805557,889.0622751657908,163.91711315807996
44,977.0321629005142,804.9807994214794,172.0513670329806,1038.710987354542,879.9428060873373,158.7681810228197
45,974.9547146954114,803.7807648091376,171.17395421281645,1045.2728079642143,879.6111912693943,165.66161620604979
46,963.2410310769383,791.413945065269,171.82708462099487,1032.9271067942943,868.4484582238489,164.47865076991053
47,962.8358843453323,788.9529723348497,173.88291355567642,1037.0958722394269,870.8550958184748,166.24077959795733
48,943.3428964349288,771.3325368374209,172.01035928846915,1017.246265797047,857.8074739778841,159.43878497638264
49,945.9700899920886,774.9237650810918,171.0463225932061,1034.7618453414352,874.0608122771208,160.7010405180571
50,937.6245766168909,765.3858713657041,172.23870741445808,1031.27612231372,867.4509670803616,163.8251538892408
51,922.2249777492088,751.8339781942246,170.3910002503214,1007.9420387184059,837.0926248514139,170.84940751298174
52,925.1394080053402,752.6259209355221,172.51348807419402,1017.4688189165728,853.5064155952828,163.9624068648727
53,921.516884023932,747.2400143393987,174.27687462915347,996.8150391602541,828.5929992492493,168.2220436989724
54,912.1109381180776,741.1764166337025,170.93452086629748,996.1212530890265,824.4518639733484,171.66938349482294
55,901.4255062054984,728.9348914037777,172.49061758306962,976.3626321634134,814.9700159143518,161.39261404959646
56,902.1565849980221,729.5616761026503,172.59490781373614,1031.5964147741493,873.0104137340466,158.58600470587774
57,902.2253646657437,729.70297975178,172.52238367780853,984.8972864466028,816.8748934481356,168.02238896611456
58,895.0029488479034,721.5355549100079,173.4673945559731,976.3667940401339,813.6551854588964,162.71161261359015
59,887.5398184088212,714.9883529469937,172.55146438019185,968.1596577045796,803.4497871895333,164.70987198135634
60,876.9476037134098,707.8100218181369,169.1375840585443,973.6760598489114,810.5927568193193,163.08331023894988
61,884.3024179193038,710.7189737440665,173.58344525687303,978.5877263982733,801.8472378628628,176.74049171241555
