epoch,train_loss,train_acc,val_loss,val_acc
0,4.116241982108669,0.03901361796098638,3.87756391091867,0.05305305305305305
1,3.6715068460870937,0.07048214942951785,3.423979419607061,0.08808808808808809
2,3.481067087705582,0.07821126242178873,3.3990603249829574,0.0980980980980981
3,3.328920165361356,0.10103054839896945,3.22749551256617,0.13613613613613615
4,3.2105925176176116,0.11520058888479941,3.2966060585923143,0.12112112112112113
5,3.0826751660195,0.1485093853514906,2.7384736046299443,0.22122122122122123
6,2.9691894866106567,0.15513433934486567,2.9696860370693265,0.17117117117117117
7,2.862214952871823,0.16709606183290393,2.6934841409459844,0.24124124124124124
8,2.813531459321158,0.1888111888111888,2.4115822024054236,0.2772772772772773
9,2.7160428774282255,0.20316525579683475,2.457467725685051,0.2972972972972973
10,2.614613604010314,0.23389768126610233,2.285697016272101,0.2932932932932933
11,2.5473809445830096,0.24365108575634892,2.257801479524798,0.32432432432432434
12,2.467332273710726,0.26058152373941845,2.4414463573031955,0.26926926926926925
13,2.382699084360897,0.2756716967243283,1.9546429032200687,0.42042042042042044
14,2.36003250473775,0.29554655870445345,1.9704939370398764,0.4024024024024024
15,2.285755899227144,0.31100478468899523,1.9626687975139827,0.3943943943943944
16,2.2083856053856046,0.33032756716967243,1.852949234219762,0.45145145145145144
17,2.170193262560033,0.3340080971659919,1.6802771632019822,0.4874874874874875
18,2.103496992899558,0.36308428413691574,1.7126953040992652,0.48348348348348347
19,2.072025093428563,0.36492454913507544,1.6608536824569091,0.5005005005005005
20,1.9635111262441165,0.39749723960250277,1.5745516789926064,0.5215215215215215
21,1.9532036232869328,0.402834008097166,1.4767150001840907,0.5515515515515516
22,1.9171778530946408,0.4089068825910931,1.6704767207364302,0.47147147147147145
23,1.8727776992834355,0.42749355907250647,1.776459755601587,0.4724724724724725
24,1.8357715683032538,0.4320942215679058,1.470882584024836,0.5275275275275275
25,1.7815702999607799,0.4547294810452705,1.5702909918518755,0.5015015015015015
26,1.7328497996697059,0.458225984541774,1.3830697170129649,0.5555555555555556
27,1.69738938591697,0.48086124401913877,1.503519405473818,0.5105105105105106
28,1.6502740233972049,0.4950312845049687,1.8926683949517298,0.4124124124124124
29,1.5987951099587399,0.5018402649981597,1.1896209269314557,0.6296296296296297
30,1.5512143844271742,0.5185866764814133,1.235026927562328,0.6116116116116116
31,1.5466239648923568,0.520610967979389,1.1371724948033437,0.6266266266266266
32,1.4649804965687183,0.5390136179609863,1.0359154609111216,0.6806806806806807
33,1.442881760063705,0.5491350754508649,1.000293898033547,0.6756756756756757
34,1.4174089284341564,0.548767022451233,1.095908228043202,0.6626626626626627
35,1.3743740626016785,0.5686418844313581,0.9780537682371931,0.6896896896896897
36,1.3528173843814821,0.5725064409274936,0.9899071385791233,0.6856856856856857
37,1.322635603249402,0.5809716599190283,0.885877031941075,0.7067067067067067
38,1.2758750531179395,0.5993743099006257,0.8827426888205268,0.7107107107107107
39,1.2466330090383417,0.6032388663967612,0.8477206425862508,0.7207207207207207
40,1.245913016344196,0.6071034228928965,0.7994580715745538,0.7317317317317318
41,1.2082240614857707,0.625138019874862,0.93089417986445,0.7147147147147147
42,1.1582629560853877,0.6308428413691571,1.0202129831662528,0.6726726726726727
43,1.1460732328878591,0.6308428413691571,0.7657894563149881,0.7607607607607607
44,1.118379856366904,0.6549503128450497,0.9114951627390521,0.6966966966966966
45,1.0675794664094411,0.6518218623481782,0.6810815543741793,0.7837837837837838
46,1.0669035233686108,0.6626794258373205,0.8320686919195158,0.7377377377377378
47,1.0276135478249622,0.6648877438351123,0.660152670141455,0.7957957957957958
48,1.024874148778631,0.6761133603238867,0.8024824194244675,0.7517517517517518
49,1.001514497709748,0.6792418108207582,0.7013427431399638,0.7737737737737738
50,0.9793005898282244,0.6849466323150534,0.6625125900403157,0.7787787787787788
