epoch,epoch,train_loss,train_recon,train_kld,val_loss,val_recon,val_kld
0,0,6439.026522943038,6339.698640229431,99.32789754746835,5474.809778528528,5395.053260291542,79.75651142475483
1,1,5366.431788963608,5299.824258306962,66.60753224046924,5267.130732294795,5206.746781938188,60.38398447886363
2,2,5254.585124109968,5195.834483781646,58.7506293574466,5176.909237362363,5121.609421921922,55.29982781243157
3,3,5163.744219738924,5107.195554786393,56.54868403567544,5098.865791572823,5038.5997208145645,60.26603898820696
4,4,5090.111283623418,5029.02030013845,61.090962354442745,5021.632366741742,4954.29444288038,67.33790620454438
5,5,5031.572824367088,4964.727951938291,66.84487219701839,4971.842924956206,4908.499073292042,63.34386993194367
6,6,4977.077712124209,4912.000410403481,65.07731160996835,4929.329137731482,4860.792120245245,68.53699659131789
7,7,4949.67772695807,4882.520717958861,67.15701699558693,4911.302032501251,4844.87034690941,66.43169982726867
8,8,4914.105804984178,4846.930330300633,67.17548132787778,4891.836883758759,4825.676610203954,66.16025766977916
9,9,4906.863224386867,4836.665214596519,70.19799372033228,4888.84739817943,4818.462231763013,70.38514197791541
10,10,4876.4319818037975,4804.837648338607,71.59433516490309,4858.184125531782,4790.048126251251,68.13602897330925
11,11,4861.452284414557,4787.626320213608,73.82595489115654,4846.105015171422,4777.325829735986,68.7791553760792
12,12,4849.782577630538,4774.91112786788,74.87146281954608,4837.0554890828325,4760.923087149649,76.13241427462619
13,13,4822.788390031646,4744.676883900316,78.11151605919946,4820.458411536537,4748.907536442693,71.55087967606278
14,14,4832.2522695806965,4753.342892108386,78.90941695201246,4828.5008993368365,4759.286814157908,69.2140733873522
15,15,4807.107211728639,4726.260341673259,80.84687886298457,4795.441042605105,4716.172097879129,79.26893812758071
16,16,4805.328525514241,4723.773939378956,81.55458211778085,4790.322521740491,4708.206910035035,82.11561219422548
17,17,4782.442486649526,4700.270767405063,82.17171700393098,4777.106852946697,4695.465621871872,81.64120040450607
18,18,4772.438212025317,4688.099139636076,84.33908583242682,4778.197466998248,4698.877772303554,79.31973404068131
19,19,4760.23866693038,4674.4207327927215,85.81792138980914,4759.400459052803,4677.2260815503005,82.17430143766813
20,20,4742.769474386867,4654.448966574367,88.32050279062005,4762.672058777527,4674.868986173674,87.80306423366726
21,21,4751.456296973893,4663.005681368671,88.45062340845035,4747.056106888138,4659.41600975976,87.6401223000344
22,22,4729.263817741297,4639.2476117484175,90.01621804539161,4737.747563970221,4653.229768831331,84.51783973915322
23,23,4719.541697982595,4627.723593255538,91.81807598645176,4742.167628566066,4649.77806712963,92.38951915782972
24,24,4704.9754202927215,4611.16855715981,93.80689063736156,4715.687136355105,4624.277699574574,91.40940342197666
25,25,4699.295352056962,4604.387658227848,94.9077258146262,4709.711872028278,4618.058535097598,91.65330222800924
26,26,4688.768725276898,4592.135621044304,96.63311203582376,4708.544286473974,4614.256713744995,94.28760413245276
27,27,4686.0623046875,4588.34940664557,97.7129059996786,4705.5522632007005,4607.68823315503,97.86402301960165
28,28,4676.107298259493,4578.781593651108,97.32568359375,4694.74853368994,4602.802663992117,91.94590635557432
29,29,4672.859154964399,4573.637574169304,99.22158689861055,4692.989380005005,4596.563326998874,96.4261059154858
30,30,4661.039411095728,4561.385996835443,99.65340862032734,4679.989215778278,4577.808552693318,102.18066772827515
31,31,4670.301475969146,4570.059703817247,100.24175453668909,4682.910914821071,4587.171816347598,95.73909407454327
32,32,4660.757137559335,4559.281363726266,101.47581161305874,4679.05761620996,4578.572670326576,100.48494967135105
33,33,4655.627178105222,4554.299367088607,101.32780692185028,4672.0246183683685,4571.454184653403,100.57045014985688
34,34,4648.799273140823,4545.544872428797,103.25441492780854,4672.1254222972975,4575.3402367210965,96.7851696300793
35,35,4640.156385977057,4536.5578891416135,103.59848949577236,4668.172031406407,4568.138353196947,100.03366049154624
36,36,4629.656811214399,4524.786026503165,104.87077095900908,4665.746711555305,4566.98145802052,98.76522653024118
37,37,4639.163001878956,4535.773543809335,103.3894621643839,4665.147991741742,4568.482726867493,96.66528051488989
38,38,4630.355594837816,4524.0939156447785,106.26168127904964,4661.315655499249,4557.091966966967,104.22365389070713
39,39,4621.488884493671,4515.062739814082,106.42612683259988,4655.427505630631,4547.977137293544,107.45033064069928
40,40,4621.665696696994,4514.428540348102,107.23712637213212,4654.133672735235,4547.659237362363,106.4744527242086
41,41,4620.304830893987,4513.243675830696,107.06113752534118,4650.727027809059,4546.14943459084,104.57761295230776
42,42,4615.207983089399,4507.745530063291,107.462464692321,4657.462079266767,4556.56103173486,100.90107624714558
43,43,4607.195722903481,4497.859303303007,109.33642686288567,4651.978630974725,4545.167405686937,106.81122247736018
44,44,4612.605795094937,4504.593695609177,108.01210010383704,4654.560325950951,4549.206693021146,105.3536177779342
45,45,4615.592859968355,4506.37793710443,109.21492263214498,4671.96777245996,4567.314232200951,104.65356200927488
46,46,4600.919083761867,4491.546991198576,109.37207448452334,4660.562668136887,4551.975618196321,108.5870616099498
